m/z	intensity
805.863017	200
805.87989	199.843
805.896763	199.294
805.913636	193.804
805.93051	194.667
805.947383	194.196
805.964257	192.706
805.981131	192.157
805.998005	202.667
806.014879	237.49
806.031753	276.235
806.048628	290.196
806.065503	284.235
806.082378	275.686
806.099253	256
806.116128	247.059
806.133004	243.294
806.149879	239.922
806.166755	240.392
806.183631	263.922
806.200507	302.824
806.217384	336.863
806.23426	377.804
806.251137	420.392
806.268014	457.255
806.284891	510.353
806.301768	555.922
806.318645	583.451
806.335523	612.235
806.352401	646.98
806.369279	691.294
806.386157	742.745
806.403035	797.177
806.419913	854.667
806.436792	883.137
806.453671	872.628
806.47055	864.628
806.487429	929.882
806.504308	1061.41
806.521188	1167.14
806.538068	1199.53
806.554948	1170.04
806.571828	1115.92
806.588708	1051.84
806.605588	926.824
806.622469	756.863
806.63935	605.255
806.656231	533.098
806.673112	494.745
806.689993	461.882
806.706874	433.333
806.723756	438.902
806.740638	445.725
806.75752	425.176
806.774402	388.392
806.791284	362.745
806.808167	327.373
806.82505	284.314
806.841933	268.392
806.858816	268.392
806.875699	265.647
806.892582	259.451
806.909466	237.961
806.92635	218.353
806.943234	205.176
806.960118	214.98
806.977002	209.412
806.993886	203.843
807.010771	202.588
807.027656	239.216
807.044541	278.039
807.061426	282.98
807.078311	264.784
807.095197	252.235
807.112083	243.765
807.128969	234.588
807.145855	236.471
807.162741	243.451
807.179627	260.941
807.196514	286.98
807.213401	314.118
807.230288	337.804
807.247175	370.51
807.264062	414.588
807.28095	478.51
807.297837	560.941
807.314725	612.314
807.331613	637.255
807.348501	661.961
807.36539	711.529
807.382278	758.196
807.399167	808.314
807.416056	842.51
807.432945	873.098
807.449834	907.137
807.466723	914.118
807.483613	921.961
807.500503	986.902
807.517393	1081.41
807.534283	1142.35
807.551173	1120.31
807.568064	1066.43
807.584954	988
807.601845	886.275
807.618736	761.098
807.635627	657.177
807.652519	570.353
807.66941	517.726
807.686302	489.176
807.703194	469.255
807.720086	435.294
807.736978	409.725
807.753871	365.412
807.770763	319.451
807.787656	292.706
807.804549	285.725
807.821442	280
807.838335	271.137
807.855229	257.49
807.872123	248.784
807.889016	240.706
807.90591	239.686
807.922805	230.98
807.939699	223.922
807.956594	223.216
807.973488	229.176
807.990383	225.804
808.007278	198.667
808.024173	187.216
808.041069	202.196
808.057964	213.647
808.07486	210.902
808.091756	201.098
808.108652	203.922
808.125549	206.275
808.142445	206.431
808.159342	210.98
808.176239	221.412
808.193136	233.647
808.210033	263.373
808.22693	299.765
808.243828	337.333
808.260725	377.412
808.277623	427.843
808.294521	442.51
808.31142	440.078
808.328318	474.824
808.345217	542.51
808.362116	622.902
808.379014	697.49
808.395914	768.392
808.412813	816.863
808.429712	826.824
808.446612	814.824
808.463512	808.235
808.480412	821.882
808.497312	846.588
808.514213	887.608
808.531113	920.157
808.548014	939.373
808.564915	945.569
808.581816	907.608
808.598717	806.118
808.615618	682.353
808.63252	583.451
808.649422	513.726
808.666324	457.961
808.683226	416.706
808.700128	390.588
808.717031	376.314
808.733933	349.412
808.750836	320.392
808.767739	313.804
808.784643	316.627
808.801546	296.471
808.818449	263.765
808.835353	229.176
808.852257	217.098
808.869161	200.471
808.886065	194.196
808.90297	192
808.919874	193.647
808.936779	186.51
808.953684	181.882
808.970589	176.078
808.987495	179.843
809.0044	177.176
809.021306	176.627
809.038212	183.294
809.055118	189.569
809.072024	187.451
809.08893	185.49
809.105837	181.49
809.122744	182.196
809.139651	190.98
809.156558	209.412
809.173465	222.745
809.190372	245.255
809.20728	258.353
809.224188	265.961
809.241096	289.49
809.258004	340.863
809.274912	399.608
809.291821	460.471
809.308729	499.608
809.325638	530.588
809.342547	560.706
809.359456	598.745
809.376366	642.118
809.393275	692.706
809.410185	735.451
809.427095	744.784
809.444005	732.392
809.460915	725.647
809.477826	732.392
809.494736	761.49
809.511647	837.02
809.528558	960.392
809.545469	1010.51
809.562381	977.49
809.579292	946.667
809.596204	920.549
809.613116	817.647
809.630028	694.745
809.64694	578.196
809.663852	475.137
809.680765	396.314
809.697678	358.118
809.714591	339.843
809.731504	327.451
809.748417	306.745
809.76533	301.882
809.782244	291.294
809.799158	273.098
809.816072	252.157
809.832986	232
809.8499	207.451
809.866815	195.765
