a1	a2	a3	b1	b2	b3	c1	c2
1	10	6	4	10	12	7	8
1	6	2	0	4	5	4	1
1	1	0	1	2	2	0	5
1	1	1	1	1	1	0	4
1	8	6	4	7	10	1	0
1	0	0	1	5	5	0	0
1	5	7	1	3	1	4	3
1	0	0	1	1	2	0	0
1	0	0	1	1	2	0	0
1	1	0	1	1	2	0	0
1	1	1	1	1	2	0	0
1	0	0	1	1	2	0	2
1	1	0	1	1	2	0	0
1	13	7	1	7	6	6	5
1	0	0	3	0	0	0	2
1	2	1	4	1	2	0	3
1	5	3	1	2	3	0	0
1	0	0	0	1	3	0	0
1	15	8	6	10	38	1	2
1	1	0	3	1	7	0	2
1	6	4	0	4	3	0	0
1	1	1	3	1	4	0	0
1	3	1	1	2	4	0	2
1	4	0	1	4	1	1	9
1	1	2	1	1	1	3	0
1	2	3	1	8	3	4	2
1	2	0	3	5	6	0	4
1	11	11	5	19	36	5	7
1	5	6	3	4	3	2	7
1	1	0	1	2	5	0	1
1	19	8	5	9	6	6	7
1	4	7	1	8	4	1	5
1	3	2	9	1	8	2	1
1	6	7	4	12	11	4	5
1	1	0	3	1	3	1	3
1	4	2	0	1	1	0	0
1	2	2	0	1	1	0	0
1	0	0	0	1	1	0	1
1	1	0	1	0	1	0	0
1	0	0	1	0	1	0	0
1	1	1	3	2	3	2	2
1	1	0	1	0	1	0	0
1	0	0	0	1	0	0	1
1	0	0	1	0	0	0	1
1	0	0	1	0	0	0	1
1	2	2	3	1	3	0	2
1	8	6	2	6	1	6	7
1	0	0	1	1	4	0	0
1	18	15	3	28	12	22	23
1	0	0	3	2	7	0	2
1	8	2	5	2	6	0	3
1	2	1	1	4	1	1	7
1	3	5	0	2	4	0	0
1	0	0	1	2	2	0	2
1	4	0	1	0	2	0	0
1	0	0	0	1	2	0	0
1	1	5	3	8	2	14	3
1	0	2	11	5	4	7	11
1	7	8	2	3	1	4	3
1	9	13	4	3	2	5	3
1	5	5	4	5	3	5	6
1	5	3	4	3	9	0	0
1	0	0	3	1	6	0	1
1	6	5	3	3	7	0	1
1	2	1	0	4	6	1	0
1	5	3	2	4	8	0	0
1	0	0	3	5	10	0	1
1	19	17	3	9	4	7	6
1	1	0	2	1	5	0	0
1	4	0	0	6	10	0	0
1	1	0	4	1	6	0	1
1	2	4	1	11	6	4	7
1	9	4	3	8	6	2	9
1	2	0	0	5	8	0	0
1	10	2	7	8	12	0	10
1	1	0	1	1	3	0	0
1	0	1	1	5	6	2	1
1	5	3	2	2	2	3	1
1	1	0	5	1	2	4	3
1	4	1	1	1	2	0	1
1	7	1	2	2	1	1	1
1	3	5	0	0	0	0	0
1	2	1	0	0	0	0	0
1	1	1	0	0	0	0	0
1	1	0	0	0	0	0	0
1	3	0	1	1	0	0	0
1	0	0	1	1	0	0	0
1	0	0	1	1	0	0	0
1	3	2	1	1	0	0	0
1	2	1	0	0	0	0	0
1	1	0	0	0	0	0	0
1	4	0	1	1	0	0	0
1	0	0	0	0	0	0	0
1	1	0	1	1	0	0	0
1	1	0	1	1	0	0	0
1	4	5	1	1	0	0	0
1	1	2	0	0	0	0	0
1	0	1	0	0	0	0	0
1	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0
0	18	14	6	5	0	2	1
0	0	0	1	1	3	3	4
0	1	0	5	4	0	0	1
0	13	16	7	6	2	4	1
0	1	1	2	2	1	0	0
0	59	21	2	11	31	36	23
0	3	1	0	1	3	4	2
0	4	0	7	5	3	0	1
0	11	0	1	2	7	4	4
0	4	1	0	2	4	5	7
0	5	4	5	4	0	0	0
0	2	5	3	2	0	1	0
0	10	4	2	4	5	9	7
0	10	0	9	13	0	5	5
0	1	0	0	0	1	3	4
0	2	1	1	1	3	3	6
0	0	0	3	2	1	0	1
0	4	1	3	2	3	5	5
0	0	4	4	3	0	0	3
0	7	5	9	14	8	1	2
0	0	0	0	0	1	5	3
0	0	0	3	2	0	0	0
0	0	0	3	3	2	0	2
0	1	0	0	0	3	1	1
0	6	6	9	9	13	26	35
0	92	145	58	54	49	0	0
0	1	1	4	7	3	0	0
0	2	0	0	1	2	3	1
0	6	5	0	3	3	10	6
0	5	0	2	8	16	7	19
0	3	1	0	2	2	7	4
0	2	1	7	7	5	2	6
0	6	1	6	4	3	1	3
0	20	28	20	16	18	0	0
0	0	1	2	0	1	15	13
0	2	3	0	0	1	4	1
0	2	1	2	2	2	0	0
0	1	1	1	1	1	0	0
0	0	0	1	1	1	0	0
0	0	0	1	1	0	0	1
0	0	1	1	1	0	0	1
0	5	0	1	1	1	0	0
0	3	1	1	1	1	0	0
0	1	1	1	1	0	0	1
0	0	0	1	1	1	0	0
0	0	0	1	1	0	0	1
0	0	0	1	1	1	0	0
0	1	0	1	1	1	0	0
0	2	1	0	0	1	1	0
0	0	0	0	0	2	0	2
0	3	0	0	0	1	0	1
0	2	2	0	0	0	1	1
0	0	0	0	0	0	2	2
0	0	0	0	0	1	0	1
0	0	0	0	0	5	0	7
0	0	0	0	0	3	1	8
0	9	3	0	2	2	4	4
0	0	3	4	5	3	4	3
0	3	3	5	4	3	4	3
0	0	0	2	1	1	0	0
0	0	0	2	1	1	0	0
0	0	0	2	1	0	0	1
0	0	0	3	2	4	3	4
0	2	1	1	2	1	0	0
0	3	0	1	2	1	0	0
0	0	0	0	0	0	12	8
0	0	0	0	0	3	0	2
0	1	0	0	0	3	0	2
0	0	0	0	0	0	4	6
0	5	1	0	0	2	3	0
0	0	0	0	0	0	2	3
0	1	1	1	1	1	3	4
0	4	0	0	2	3	5	2
0	0	0	4	2	1	0	0
0	14	8	15	13	14	4	8
0	0	2	1	2	1	16	13
0	11	17	7	12	6	1	4
0	2	2	4	2	0	0	0
0	0	0	1	2	0	0	0
0	0	0	1	2	0	0	0
0	1	0	2	1	0	0	0
0	1	2	2	1	0	0	0
0	1	0	2	1	0	0	0
0	0	1	1	1	1	4	6
0	0	0	1	1	2	6	14
0	0	2	2	3	0	65	46
0	5	84	47	56	22	595	469
0	5	7	2	2	1	0	2
0	7	2	0	0	0	2	1
0	1	2	0	0	2	1	0
0	0	0	0	0	2	0	1
0	0	0	0	0	2	0	1
0	0	0	0	0	2	0	1
0	0	0	0	0	0	2	1
0	1	0	0	0	0	2	1
0	1	0	0	0	2	0	1
0	2	1	0	0	1	0	2
0	0	0	0	0	2	0	1
0	1	2	1	1	1	3	2
0	0	0	15	7	3	0	0
0	2	1	0	1	1	36	77
0	0	0	4	2	1	0	1
0	1	0	3	5	1	0	4
0	0	0	0	2	4	3	15
0	1	0	0	1	2	1	6
0	5	5	1	4	2	12	8
0	0	0	0	0	0	17	7
0	1	0	0	0	2	5	0
0	0	0	1	1	2	3	10
0	0	0	1	5	1	17	28
0	1	1	0	1	1	3	1
0	1	2	1	0	1	3	1
0	0	0	1	0	1	3	1
0	1	4	0	3	0	10	11
0	1	2	11	28	8	97	76
0	6	3	2	3	2	5	6
0	0	0	7	2	1	21	27
0	0	0	0	0	0	3	1
0	1	0	0	0	3	0	1
0	2	3	0	0	1	3	0
0	0	0	0	0	1	3	0
0	17	11	2	2	3	3	9
0	0	0	0	1	1	23	7
0	6	2	3	2	3	0	0
0	0	0	0	0	0	17	5
0	1	2	6	10	2	34	55
0	0	0	0	0	2	0	7
0	36	69	89	134	41	611	380
0	1	0	3	1	0	0	0
0	0	0	0	0	0	5	20
0	13	4	1	1	2	5	1
0	1	0	0	0	4	1	0
0	0	0	6	7	3	20	20
0	5	12	62	32	16	13	33
0	5	1	1	5	20	6	4
0	4	2	2	5	3	0	0
0	4	1	1	2	1	0	1
0	1	1	0	1	1	2	1
0	19	10	18	14	18	6	9
0	0	0	0	0	5	0	1
0	0	0	1	2	0	7	6
0	1	7	1	3	1	0	0
0	5	1	1	3	1	0	0
0	3	1	3	1	1	0	0
0	0	0	3	1	1	0	0
0	0	0	3	1	1	0	0
0	1	0	3	1	1	0	0
0	2	0	3	1	1	0	0
0	3	0	12	5	3	2	2
0	2	5	3	2	0	10	11
0	18	24	17	9	4	14	1
0	42	56	43	58	24	150	124
0	0	0	0	0	6	0	1
0	0	0	0	0	6	0	1
0	0	0	0	1	0	2	3
0	0	0	1	0	3	0	2
0	0	0	0	1	5	0	2
0	1	1	1	2	1	6	3
0	5	1	3	3	4	0	0
0	0	0	4	1	0	0	0
0	0	1	1	0	0	6	2
0	3	0	6	2	3	0	0
0	7	0	0	2	13	0	4
0	42	38	45	99	62	275	115
0	0	0	0	0	0	1	8
0	0	1	0	0	0	1	8
0	1	1	4	0	2	16	4
0	2	12	8	3	2	14	19
0	6	0	6	2	0	1	2
0	0	0	1	1	18	0	4
0	10	0	62	16	0	0	14
0	10	2	0	6	6	9	7
0	1	3	2	3	1	32	7
0	0	0	5	1	0	0	0
0	0	0	5	1	0	0	0
0	4	0	7	2	3	0	0
0	0	0	0	0	1	12	0
0	0	0	4	1	1	0	0
0	0	0	4	1	1	0	0
0	0	0	4	1	0	0	1
0	4	3	0	5	8	1	10
0	0	0	0	0	1	15	0
0	1	2	0	2	0	13	3
0	0	0	2	0	0	13	3
0	1	0	3	0	2	3	36
0	0	0	2	1	0	0	2
0	0	0	0	1	0	2	2
0	2	0	1	2	2	0	0
0	2	0	0	1	2	0	2
0	2	1	0	1	2	0	2
0	3	1	1	2	2	0	0
0	0	0	6	1	0	0	0
0	0	0	3	1	1	1	0
0	0	0	3	1	1	0	1
0	1	1	3	1	1	0	1
0	1	2	0	2	1	4	2
0	3	15	7	15	9	7	2
0	1	0	5	3	6	3	8
0	3	1	0	2	5	0	3
0	0	0	20	5	2	0	7
0	1	0	0	3	5	3	2
0	2	0	1	1	1	2	1
0	2	2	0	0	1	0	0
0	2	2	0	0	1	0	0
0	1	1	0	0	0	1	0
0	0	0	0	0	0	0	4
0	0	0	0	0	4	0	0
0	0	0	0	0	0	2	0
0	0	0	0	0	2	0	0
0	0	0	0	0	2	0	0
0	0	0	0	0	2	0	0
0	0	0	0	0	2	0	0
0	0	0	0	0	2	0	0
0	0	0	0	0	2	0	0
0	0	0	0	0	2	0	0
0	0	0	0	0	2	0	0
0	0	0	0	0	2	0	0
0	0	0	0	0	0	0	2
0	0	0	0	0	0	0	2
0	0	0	0	0	1	0	0
0	0	0	0	0	1	0	0
0	0	0	0	0	1	0	0
0	0	0	0	0	1	0	0
0	0	0	0	0	1	0	0
0	0	0	0	0	1	0	0
0	0	0	0	0	0	0	1
0	3	0	0	0	1	0	0
0	3	0	0	0	1	0	0
0	6	0	0	0	0	2	0
0	2	0	0	0	0	1	0
0	2	0	0	0	0	0	1
0	0	2	0	0	0	0	1
0	2	0	0	0	1	0	0
0	3	0	0	0	0	0	13
0	1	0	0	0	1	0	0
0	1	0	0	0	1	0	0
0	1	0	0	0	0	1	0
0	2	0	0	0	2	0	0
0	1	0	0	0	2	0	0
0	1	0	0	0	2	0	0
0	6	7	0	0	1	0	0
0	2	2	0	0	1	0	0
0	2	2	0	0	1	0	0
0	2	1	0	0	0	0	1
0	1	1	0	0	1	0	0
0	3	1	0	0	1	0	0
0	5	1	0	0	1	0	0
0	0	0	0	0	2	0	0
0	0	0	0	0	2	0	0
0	0	0	0	0	0	0	2
0	0	0	0	0	1	0	0
0	0	0	0	0	1	0	0
0	0	0	0	0	1	0	0
0	0	0	0	0	1	0	0
0	2	0	0	0	1	0	0
0	1	0	0	0	1	0	0
0	1	0	0	0	0	0	2
0	1	1	1	1	2	1	1
0	1	2	0	0	1	0	0
0	0	0	0	0	2	0	0
0	0	0	0	0	1	0	0
0	0	0	0	0	1	0	0
0	0	0	0	0	1	0	0
0	2	0	0	0	1	0	0
0	1	0	0	0	1	0	0
0	0	0	0	0	1	0	0
0	2	0	0	0	1	0	0
0	5	4	0	0	5	0	0
0	0	0	0	0	0	0	10
0	0	0	0	0	0	0	7
0	0	0	0	0	0	0	7
0	0	0	0	0	7	0	0
0	0	1	0	0	0	0	7
0	0	0	0	0	0	0	7
0	1	3	1	1	1	0	1
0	0	0	1	1	1	0	1
0	0	0	0	0	0	0	19
0	0	0	0	0	0	12	0
0	0	0	0	0	0	0	9
0	0	0	0	0	0	0	6
0	0	0	0	0	0	6	0
0	0	0	0	0	0	3	0
0	0	0	0	0	0	3	0
0	0	0	0	0	3	0	0
0	0	0	0	0	3	0	0
0	0	0	0	0	0	0	3
0	1	0	0	0	3	0	0
0	1	0	0	0	3	0	0
0	1	0	0	0	0	0	3
0	2	1	1	1	1	0	1
0	1	0	1	1	1	0	1
0	0	0	0	0	3	0	0
0	2	1	0	0	0	3	0
0	0	0	0	0	0	15	0
0	3	6	1	1	1	0	1
0	1	0	1	1	1	0	1
0	0	0	0	0	3	0	0
0	0	0	0	1	1	0	7
0	0	0	21	7	14	1	2
0	0	0	0	3	3	0	20
0	5	1	4	13	30	5	14
0	3	1	0	1	1	6	0
0	6	3	1	9	6	38	4
0	6	2	1	6	9	2	9
0	0	0	0	1	5	0	1
0	0	0	5	3	6	2	18
0	1	0	5	1	2	0	0
0	4	2	0	4	2	4	7
0	8	4	8	1	1	0	0
0	0	0	1	1	6	0	2
0	3	2	0	2	8	0	2
0	5	2	0	6	9	0	12
0	3	1	0	2	3	0	4
0	10	5	1	7	2	0	0
0	0	0	3	5	10	0	12
0	1	0	1	0	1	0	3
0	4	0	0	1	3	1	0
0	0	0	3	2	0	2	3
0	3	0	3	2	3	0	2
0	0	0	12	2	2	1	2
0	5	3	2	4	3	3	7
0	2	0	5	4	6	0	3
0	9	7	3	2	4	0	0
0	0	0	3	2	4	0	0
0	2	4	1	7	2	14	7
0	0	1	1	16	2	0	0
0	10	0	3	8	22	0	11
0	2	1	1	4	1	0	2
0	3	3	1	3	1	2	0
0	0	0	3	1	2	0	1
0	16	8	1	14	25	10	8
0	0	0	4	1	0	0	3
0	7	8	5	4	4	4	4
0	2	3	2	0	0	0	0
0	1	2	1	0	0	0	0
0	1	1	0	1	0	0	0
0	1	1	1	0	0	0	0
0	2	7	4	0	0	0	0
0	1	1	0	2	0	0	0
0	1	1	6	0	0	0	0
0	0	0	0	29	0	0	0
0	0	0	0	28	0	0	0
0	0	0	21	0	0	0	0
0	0	0	0	20	0	0	0
0	0	0	0	15	0	0	0
0	0	0	0	14	0	0	0
0	0	0	7	0	0	0	0
0	0	0	0	6	0	0	0
0	0	0	6	0	0	0	0
0	0	0	6	0	0	0	0
0	0	0	0	5	0	0	0
0	0	0	5	0	0	0	0
0	0	0	0	4	0	0	0
0	0	0	4	0	0	0	0
0	0	0	4	0	0	0	0
0	0	0	4	0	0	0	0
0	0	0	4	0	0	0	0
0	0	0	4	0	0	0	0
0	0	0	4	0	0	0	0
0	0	0	4	0	0	0	0
0	0	0	3	0	0	0	0
0	0	0	3	0	0	0	0
0	0	0	0	3	0	0	0
0	0	0	2	0	0	0	0
0	0	0	2	0	0	0	0
0	0	0	2	0	0	0	0
0	0	0	0	2	0	0	0
0	0	0	0	2	0	0	0
0	0	0	0	2	0	0	0
0	0	0	1	0	0	0	0
0	0	0	1	0	0	0	0
0	0	0	1	0	0	0	0
0	0	0	1	0	0	0	0
0	0	0	1	0	0	0	0
0	0	0	1	0	0	0	0
0	0	0	0	1	0	0	0
0	1	0	12	0	0	0	0
0	1	0	10	0	0	0	0
0	2	0	1	0	0	0	0
0	4	0	0	2	0	0	0
0	3	0	0	2	0	0	0
0	1	0	0	1	0	0	0
0	1	0	0	1	0	0	0
0	1	0	0	1	0	0	0
0	1	0	1	0	0	0	0
0	2	0	4	0	0	0	0
0	1	1	1	0	0	0	0
0	1	1	1	0	0	0	0
0	1	1	0	2	0	0	0
0	0	0	1	0	1	1	1
0	0	0	9	0	0	0	0
0	0	0	5	0	0	0	0
0	0	0	4	0	0	0	0
0	0	0	2	0	0	0	0
0	0	0	2	0	0	0	0
0	0	0	2	0	0	0	0
0	0	0	2	0	0	0	0
0	0	0	1	0	0	0	0
0	0	0	1	0	0	0	0
0	0	0	0	1	0	0	0
0	3	0	0	1	0	0	0
0	1	0	0	3	0	0	0
0	1	0	0	1	0	0	0
0	1	0	0	1	0	0	0
0	2	0	0	2	0	0	0
0	2	2	2	0	0	0	0
0	0	0	9	0	0	0	0
0	0	0	9	0	0	0	0
0	0	0	0	2	0	0	0
0	0	0	1	0	0	0	0
0	0	0	0	1	0	0	0
0	4	0	0	1	0	0	0
0	6	0	3	0	0	0	0
0	1	0	0	1	0	0	0
0	0	0	3	0	0	0	0
0	0	0	8	0	0	0	0
0	0	0	0	4	0	0	0
0	8	5	4	7	8	2	0
0	0	0	0	3	1	1	11
0	2	0	3	7	6	1	2
0	0	0	23	0	0	1	0
0	0	0	8	0	0	1	0
0	1	1	1	9	1	1	2
0	0	0	15	0	0	0	2
0	3	3	0	1	6	0	0
0	0	0	0	1	0	0	6
0	1	0	3	1	2	2	5
0	1	0	0	2	4	1	1
0	0	0	3	1	3	0	0
0	0	1	6	0	0	0	1
0	2	1	0	4	11	0	3
0	1	1	2	4	5	0	0
0	6	11	4	4	7	0	0
0	0	2	3	9	4	5	23
0	0	0	9	0	1	0	1
0	0	0	3	2	1	2	12
0	0	0	0	4	0	0	1
0	0	0	4	0	0	0	1
0	1	1	1	2	2	0	1
0	3	2	0	1	1	2	0
0	3	1	0	1	1	0	2
0	0	2	1	0	0	2	1
0	4	5	1	2	2	1	0
0	1	1	0	1	2	0	1
0	0	0	1	0	1	0	2
0	1	0	1	2	2	0	1
0	3	0	2	1	2	1	0
0	0	0	1	0	1	0	2
0	2	0	1	0	2	0	1
0	3	9	7	46	3	22	7
0	0	0	1	0	5	0	0
0	1	0	0	1	5	0	0
0	3	6	1	5	4	0	0
0	22	14	36	23	19	26	28
0	43	42	16	32	27	35	29
0	0	0	0	4	0	0	19
0	12	10	8	2	5	1	2
0	2	2	3	13	3	30	9
0	6	3	3	0	0	0	1
0	0	0	0	6	2	0	0
0	0	0	0	3	1	0	0
0	0	0	3	0	0	0	1
0	1	0	6	0	2	0	0
0	3	0	0	3	1	0	0
0	4	0	6	0	2	0	0
0	2	2	1	4	1	2	1
0	0	0	4	1	1	2	1
0	1	0	6	0	2	0	0
0	1	0	3	0	1	0	0
0	2	0	0	3	3	3	2
0	3	3	4	4	8	3	4
0	0	0	1	1	1	0	5
0	4	0	0	38	4	0	9
0	2	1	1	4	1	3	0
0	0	0	0	4	0	17	0
0	3	0	0	5	0	0	2
0	0	0	5	0	1	0	1
0	0	0	7	0	3	0	0
0	0	0	7	0	3	0	0
0	0	0	8	1	5	0	1
0	5	1	0	1	0	0	4
0	1	1	1	0	0	4	0
0	2	3	4	3	0	8	7
0	3	0	0	5	19	0	0
0	20	7	6	10	36	3	4
0	0	0	2	4	5	1	0
0	2	2	2	0	1	0	0
0	0	0	4	0	2	0	0
0	0	0	2	0	0	0	1
0	0	0	0	2	1	0	0
0	0	0	0	2	1	0	0
0	3	0	6	0	3	0	0
0	1	0	0	2	1	0	0
0	1	0	2	0	1	0	0
0	3	0	0	4	2	0	0
0	5	7	1	3	3	2	3
0	2	3	0	2	1	0	0
0	4	12	4	0	0	2	0
0	0	0	0	4	2	0	0
0	0	0	0	2	1	0	0
0	0	0	0	2	1	0	0
0	1	0	2	0	1	0	0
0	1	0	0	8	3	0	1
0	1	3	1	1	1	0	4
0	1	0	0	3	6	1	1
0	0	0	3	2	11	0	2
0	6	3	0	5	3	0	0
0	0	0	36	22	26	26	51
0	0	3	3	6	7	1	2
0	7	8	4	9	4	16	6
0	1	0	1	1	0	0	2
0	2	2	1	1	2	0	0
0	0	0	1	1	2	0	0
0	3	1	3	2	5	0	0
0	7	0	14	21	33	0	37
0	2	0	1	4	3	3	4
0	4	2	0	3	1	1	0
0	0	0	3	0	1	0	1
0	1	0	0	3	2	0	0
0	3	2	0	3	2	0	0
0	2	3	3	0	2	0	0
0	0	0	9	0	6	0	0
0	0	0	1	2	3	0	0
0	1	0	1	2	1	1	4
0	2	2	0	1	3	0	0
0	0	0	1	2	3	0	0
0	0	0	1	0	3	0	0
0	0	0	0	1	3	0	0
0	1	0	0	1	0	0	3
0	4	0	0	2	6	0	0
0	9	5	5	2	5	1	2
0	0	0	0	4	4	0	5
0	3	0	1	1	5	0	0
0	0	0	5	5	5	1	7
0	1	0	1	1	3	0	1
0	2	1	0	6	5	0	0
0	0	0	0	2	5	0	0
0	1	0	0	2	5	0	0
0	50	11	20	119	102	11	35
0	0	0	4	7	8	1	5
0	1	2	4	5	2	4	10
0	6	0	0	19	0	0	17
0	0	0	0	11	10	0	0
0	1	0	0	9	0	11	8
0	1	0	0	4	8	1	0
0	6	3	1	2	5	0	1
0	3	1	8	6	12	0	13
0	1	1	1	10	19	0	4
0	3	8	0	4	2	3	3
0	6	4	1	7	4	2	3
0	3	2	0	2	1	2	1
0	0	0	2	0	1	0	1
0	4	0	0	2	1	0	1
0	0	3	0	2	1	0	1
0	5	2	0	3	3	2	1
0	0	1	0	3	2	1	0
0	4	7	0	5	1	5	4
0	7	5	1	3	7	0	1
0	6	8	0	1	0	1	0
0	5	4	0	1	1	0	0
0	4	3	0	1	1	0	0
0	3	2	1	0	1	0	0
0	2	2	0	1	1	0	0
0	5	3	0	2	2	0	0
0	3	1	0	1	1	0	0
0	3	1	0	1	0	0	1
0	4	3	0	3	3	0	0
0	3	1	0	1	1	0	1
0	1	1	1	0	1	0	0
0	1	1	0	1	1	0	0
0	1	2	0	1	1	1	0
0	3	1	0	2	0	2	0
0	0	0	0	8	0	0	8
0	0	0	8	0	0	0	8
0	0	0	1	0	1	0	0
0	0	0	1	0	0	0	1
0	0	0	0	1	1	0	0
0	0	0	0	1	1	0	0
0	5	0	0	1	1	0	0
0	4	0	0	1	1	0	0
0	3	0	0	1	1	0	1
0	2	0	0	1	1	0	0
0	0	2	0	1	1	0	0
0	1	0	1	0	1	0	0
0	1	0	0	1	1	0	0
0	1	0	0	1	1	0	0
0	3	4	1	2	1	2	1
0	2	2	0	1	0	1	0
0	4	8	0	2	2	0	0
0	3	2	0	1	0	1	1
0	1	2	0	1	1	0	0
0	1	2	0	1	1	0	0
0	1	1	0	1	1	0	0
0	1	1	1	0	0	0	1
0	1	1	0	1	1	1	0
0	0	0	0	1	1	0	1
0	0	0	1	0	1	0	0
0	0	0	0	1	1	0	0
0	1	0	1	0	1	0	0
0	1	0	1	0	1	0	0
0	2	0	0	1	1	1	0
0	2	2	1	0	1	0	0
0	4	1	0	1	0	0	1
0	2	0	1	0	1	0	0
0	2	1	0	1	1	0	1
0	3	1	0	2	2	0	0
0	1	0	1	0	1	0	0
0	3	2	0	4	1	6	1
0	11	10	0	2	0	3	1
0	6	1	0	2	1	3	0
0	5	0	2	0	3	0	1
0	9	0	4	2	4	1	3
0	1	1	1	1	4	0	0
0	0	0	1	1	4	0	0
0	3	3	3	1	8	0	0
0	9	4	0	4	7	1	0
0	0	0	0	5	9	0	1
0	1	0	5	3	1	0	9
0	1	2	3	1	4	0	1
0	1	0	1	3	4	1	0
0	3	6	4	6	2	6	6
0	2	1	2	1	1	1	3
0	0	0	1	2	2	0	2
0	1	0	1	2	0	2	2
0	0	0	0	1	0	0	2
0	0	0	0	1	2	0	0
0	1	0	0	1	2	0	0
0	1	0	0	1	2	0	0
0	2	0	0	1	2	0	0
0	1	0	2	1	1	3	1
0	0	0	0	1	2	0	0
0	0	0	0	1	2	0	0
0	0	0	3	0	6	0	0
0	0	0	1	0	2	0	0
0	0	0	10	7	3	0	19
0	14	14	2	12	7	7	4
0	5	4	2	7	4	6	5
0	3	4	0	5	3	2	1
0	3	1	0	7	2	0	11
0	0	0	1	2	1	0	3
0	2	3	3	2	2	1	4
0	1	0	2	1	3	0	1
0	4	1	2	7	7	4	1
0	2	6	1	3	1	0	6
0	3	0	0	5	6	0	0
0	2	4	2	4	8	1	1
0	223	256	192	221	254	0	326
0	3	1	2	3	2	1	5
0	0	0	0	4	5	0	0
0	22	29	11	57	24	26	42
0	4	0	2	4	8	0	0
0	3	3	3	2	0	2	5
0	6	1	0	3	2	2	1
0	0	0	2	1	5	0	0
0	2	1	0	3	1	3	1
0	0	0	0	3	3	0	1
0	0	0	0	3	4	0	0
0	2	0	3	0	0	0	4
0	4	4	3	19	8	22	5
0	0	0	1	4	7	0	0
0	1	1	3	2	8	0	0
0	8	4	0	5	4	2	1
0	2	6	0	5	5	1	2
0	0	0	5	2	9	1	1
0	6	12	1	4	0	0	8
0	7	0	3	8	10	2	5
0	1	0	10	1	2	4	10
0	21	10	10	23	31	0	18
0	1	1	3	1	4	1	1
0	8	9	1	1	2	1	0
0	7	3	0	4	3	3	0
0	0	0	2	0	1	1	1
0	0	0	1	1	1	0	2
0	0	0	2	0	0	2	1
0	0	0	1	1	3	0	0
0	1	0	1	1	1	0	2
0	5	0	0	2	3	0	0
0	3	0	1	3	3	2	1
0	0	0	0	2	3	0	0
0	0	0	0	2	3	0	0
0	3	3	1	1	2	0	1
0	1	2	0	2	2	1	0
0	0	0	0	2	3	0	0
0	1	0	0	2	3	0	0
0	1	1	0	0	0	0	0
0	1	1	0	0	0	0	0
0	3	2	0	0	0	0	0
0	2	1	0	0	0	0	0
0	2	1	0	0	0	0	0
0	1	2	0	0	0	0	0
0	2	1	0	0	0	0	0
0	2	1	0	0	0	0	0
0	2	1	0	0	0	0	0
0	4	1	0	0	0	0	0
0	1	2	1	1	0	0	0
0	0	0	1	1	0	0	0
0	0	1	0	0	0	0	0
0	1	0	0	0	0	0	0
0	1	0	0	0	0	0	0
0	1	0	0	0	0	0	0
0	2	0	0	0	0	0	0
0	0	2	0	0	0	0	0
0	0	2	0	0	0	0	0
0	0	3	0	0	0	0	0
0	3	0	0	0	0	0	0
0	0	6	0	0	0	0	0
0	9	0	0	0	0	0	0
0	0	2	1	1	0	0	0
0	2	0	2	2	0	0	0
0	1	1	0	0	0	0	0
0	1	1	0	0	0	0	0
0	1	2	0	0	0	0	0
0	1	2	0	0	0	0	0
0	1	2	0	0	0	0	0
0	10	4	0	0	0	0	0
0	3	1	0	0	0	0	0
0	1	4	0	0	0	0	0
0	2	0	0	0	0	0	0
0	2	0	0	0	0	0	0
0	5	0	0	0	0	0	0
0	7	0	0	0	0	0	0
0	3	0	0	0	0	0	0
0	3	0	0	0	0	0	0
0	3	0	0	0	0	0	0
0	1	0	1	1	0	0	0
0	1	1	0	0	0	0	0
0	1	1	0	0	0	0	0
0	2	2	0	0	0	0	0
0	2	2	0	0	0	0	0
0	1	0	0	0	0	0	0
0	1	0	0	0	0	0	0
0	2	0	0	0	0	0	0
0	2	0	0	0	0	0	0
0	2	0	0	0	0	0	0
0	4	0	0	0	0	0	0
0	6	6	0	0	0	0	0
0	4	0	0	0	0	0	0
0	2	0	0	0	0	0	0
0	1	2	0	0	0	0	0
0	1	0	3	3	0	0	0
0	1	0	0	0	0	0	0
